transaction_id,opportunity_name,product_id,store_id,quantity,selling_price,discount_amount,transaction_timestamp,payment_mode,sales_channel
TXN000001,Royal Lifestyle Order 84,P0011,S005,5,93681,9545,17-Mar-2026 05.09.51 PM,Card,Store
TXN000002,Quick Mobile Order 47,P0020,S004,1,22723,2060,13-Jan-2026 01.57.14 PM,Cash,Store
TXN000003,Fresh Appliances Order 15,,S001,3,24335,3346,13-Jan-2026 04.48.13 PM,Net Banking,Online
TXN000004,Urban Furniture Order 35,P0015,S003,3,51821,5958,09-Mar-2026 12.38.06 AM,Net Banking,Online
TXN000005,Smart Furniture Order 63,P0005,S004,4,92199,12352,23-Jan-2026 09.35.51 AM,Card,Online
TXN000006,Royal Electronics Order 11,P0003,S001,3,1409,135,09-Mar-2026 11.11.34 AM,Card,Store
TXN000007,Value Mobile Order 81,P0008,S003,2,38121,1763,18-Feb-2026 12.46.09 AM,UPI,Store
TXN000008,Value Fashion Order 95,P0006,S002,2,107459,14564,17-Jan-2026 06.12.09 PM,Net Banking,Online
TXN000009,Value Fashion Order 4,P0006,S005,1,51355,973,23-Feb-2026 03.50.51 PM,Cash,Online
TXN000010,Quick Appliances Order 22,P0009,S004,2,75727,627,27-Jan-2026 10.00.57 PM,Net Banking,Store
TXN000011,Value Electronics Order 98,P0003,S004,5,33484,4974,26-Feb-2026 01.39.25 AM,UPI,Online
TXN000012,Quick Electronics Order 27,P0004,S003,-1,6602,533,28-Jan-2026 09.08.12 PM,UPI,Online
TXN000013,Quick Appliances Order 22,P0013,S002,4,16492,2445,06-Feb-2026 11.27.33 PM,Cash,Online
TXN000014,Smart Furniture Order 63,P0018,S005,1,86418,11055,07-Feb-2026 12.55.01 PM,Card,Online
TXN000015,Modern Accessories Order 20,P0012,S002,5,17373,664,24-Mar-2026 06.29.38 PM,Net Banking,Online
TXN000016,Elite Accessories Order 13,P0010,S002,2,60710,6056,17-Jan-2026 04.17.18 AM,Net Banking,Store
TXN000017,Prime Groceries Order 78,P0006,S004,3,103887,742,07-Feb-2026 01.06.30 AM,Net Banking,Store
TXN000018,Royal Lifestyle Order 32,P0005,S005,1,59788,3278,19-Mar-2026 11.12.06 PM,Cash,Online
TXN000019,Prime Fashion Order 19,P0003,S004,3,95489,739,16-Feb-2026 09.12.26 AM,Card,Store
TXN000020,Prime Fashion Order 19,P0018,S002,2,67759,6390,20-Jan-2026 07.13.39 PM,Cash,Store
TXN000021,Modern Mobile Order 93,P0018,S003,1,89179,10574,11-Feb-2026 10.55.01 PM,Net Banking,Online
TXN000022,Urban Lifestyle Order 46,P0002,S004,2,15569,1452,28-Feb-2026 12.12.56 AM,UPI,Store
TXN000023,Urban Mobile Order 42,P0012,S003,1,-100,4850,03-Feb-2026 08.18.38 AM,UPI,Online
TXN000024,Elite Furniture Order 54,P0015,S005,3,66906,5845,26-Jan-2026 07.37.10 PM,Card,Online
TXN000025,Global Appliances Order 51,P0005,S001,1,108076,8726,20-Mar-2026 12.48.05 PM,Cash,Store
TXN000026,Urban Groceries Order 8,P0011,S005,1,61278,6377,14-Mar-2026 10.12.30 AM,UPI,Online
TXN000027,Elite Accessories Order 28,P0007,S003,5,82657,8926,01-Mar-2026 08.56.26 AM,Cash,Online
TXN000028,Fresh Mobile Order 31,P0009,S004,4,88073,422,10-Mar-2026 11.20.50 PM,Cash,Online
TXN000029,Smart Mobile Order 80,P0007,S005,5,106542,14426,11-Jan-2026 03.41.27 PM,Net Banking,Online
TXN000030,Metro Lifestyle Order 55,P0019,S001,3,89323,7176,03-Jan-2026 08.15.03 PM,Net Banking,Store
TXN000031,Value Groceries Order 25,P0011,S004,1,4317,90,08-Jan-2026 01.44.48 AM,Cash,Store
TXN000032,Royal Mobile Order 23,P0007,S004,3,55024,2801,15-Mar-2026 07.32.55 AM,Card,Online
TXN000033,Elite Mobile Order 14,P0017,S005,3,45774,1155,22-Jan-2026 12.38.28 AM,UPI,Store
TXN000034,Urban Furniture Order 7,P0014,S005,5,9335,686,13-Mar-2026 02.45.56 PM,Cash,Online
TXN000035,Urban Appliances Order 37,P0002,S004,3,22816,2303,28-Mar-2026 09.40.47 AM,Card,Online
TXN000036,Modern Lifestyle Order 18,P0015,S001,2,74553,785,21-Jan-2026 02.03.33 PM,Net Banking,Store
TXN000037,Urban Appliances Order 37,P0011,S001,2,47075,2218,05-Feb-2026 06.51.29 AM,Net Banking,Store
TXN000038,Global Fashion Order 56,P0004,S001,3,61277,6430,17-Mar-2026 02.30.50 PM,UPI,Store
TXN000039,Quick Groceries Order 76,P0014,S001,3,103598,10423,24-Mar-2026 11.41.36 AM,Card,Store
TXN000040,Elite Lifestyle Order 99,P0015,S002,2,71654,739,15-Mar-2026 10.23.03 AM,Net Banking,Online
TXN000041,Fresh Lifestyle Order 92,P0002,S002,3,101716,13571,13-Mar-2026 01.46.12 PM,Net Banking,Online
TXN000042,Elite Furniture Order 54,P0013,S001,5,79477,9029,21-Jan-2026 01.09.58 PM,Net Banking,Online
TXN000043,Royal Lifestyle Order 84,P0010,S003,2,76838,11367,11-Jan-2026 07.16.27 PM,UPI,Online
TXN000044,Smart Mobile Order 80,P0004,S005,2,14692,496,07-Jan-2026 07.31.57 PM,Card,Online
TXN000045,Modern Lifestyle Order 58,P0018,S003,1,99611,13503,11-Feb-2026 02.11.00 PM,Cash,Online
TXN000046,Global Mobile Order 69,P0017,S005,2,97940,6035,06-Feb-2026 01.58.35 AM,UPI,Store
TXN000047,Value Accessories Order 12,P0016,S002,3,108478,15736,09-Jan-2026 04.36.05 AM,UPI,Online
TXN000048,Fresh Furniture Order 53,P0016,S003,2,42758,418,25-Mar-2026 09.43.19 AM,Cash,Store
TXN000049,Quick Electronics Order 27,P0018,S004,4,58336,4054,07-Jan-2026 06.18.20 PM,UPI,Store
TXN000050,Smart Mobile Order 64,P0002,S003,3,20896,1819,04-Feb-2026 04.45.25 PM,Cash,Store
TXN000051,Fresh Electronics Order 65,P0015,S001,2,30974,4640,12-Feb-2026 03.07.41 AM,Net Banking,Store
TXN000052,Mega Mobile Order 26,P0005,S003,2,57121,6415,30-Mar-2026 08.45.37 AM,Net Banking,Store
TXN000053,Royal Furniture Order 57,P0001,S004,4,102605,7427,12-Mar-2026 05.06.45 PM,Cash,Store
TXN000054,Mega Appliances Order 89,P0009,S003,4,79214,5490,22-Feb-2026 12.36.45 AM,Net Banking,Online
TXN000055,Royal Mobile Order 23,P0010,S002,2,64378,919,25-Feb-2026 02.32.18 AM,Card,Online
TXN000056,Smart Lifestyle Order 16,P0001,S001,1,63358,2032,23-Mar-2026 11.11.25 PM,Cash,Store
TXN000057,Urban Mobile Order 3,P0018,S002,1,50968,845,16-Jan-2026 06.49.06 AM,UPI,Online
TXN000058,Quick Furniture Order 60,,S001,3,66399,8572,01-Apr-2026 07.40.51 AM,UPI,Online
