transaction_id,opportunity_name,product_id,store_id,quantity,selling_price,discount_amount,transaction_timestamp,payment_mode,sales_channel
TXN_NEW_0001,Smart Electronics Order 66,P0005,S002,4,79694,75,21-Apr-2026 07.35.51 AM,Cash,Store
TXN_NEW_0002,Quick Fashion Order 41,P0019,S005,4,27416,2349,07-Apr-2026 01.53.47 PM,Card,Online
TXN_NEW_0003,Value Groceries Order 45,P0020,S002,1,15949,606,07-Apr-2026 02.52.01 AM,Net Banking,Store
TXN_NEW_0004,Quick Groceries Order 91,P0015,S005,1,9490,1242,25-Apr-2026 02.53.18 PM,UPI,Online
TXN_NEW_0005,Quick Groceries Order 76,P0007,S002,4,10836,1535,05-Apr-2026 07.09.18 PM,Card,Store
TXN_NEW_0006,Royal Lifestyle Order 84,P0004,S005,4,60923,7322,13-Apr-2026 08.43.20 PM,Card,Online
TXN_NEW_0007,Quick Appliances Order 97,P0016,S002,1,29501,2183,26-Apr-2026 04.54.06 PM,Card,Store
TXN_NEW_0008,Quick Groceries Order 34,P0008,S003,3,96628,11560,02-Apr-2026 01.16.47 PM,UPI,Store
TXN_NEW_0009,Mega Appliances Order 89,P0016,S003,4,102983,6641,01-May-2026 09.16.24 AM,Net Banking,Store
TXN_NEW_0010,Urban Groceries Order 8,P0002,S005,3,6446,528,08-Apr-2026 10.10.33 AM,Card,Store
TXN_NEW_0011,Urban Electronics Order 87,P0002,S005,2,114594,13134,16-Apr-2026 03.26.07 AM,Cash,Online
TXN_NEW_0012,Urban Mobile Order 3,P0014,S002,5,115856,3585,17-Apr-2026 11.04.34 PM,Cash,Online
TXN_NEW_0013,Prime Fashion Order 19,P0001,S003,2,94750,5010,09-Apr-2026 01.43.39 AM,UPI,Store
TXN_NEW_0014,Prime Mobile Order 90,P0020,S002,3,75122,7490,06-Apr-2026 11.15.48 AM,Cash,Online
TXN_NEW_0015,Modern Mobile Order 94,P0016,S003,5,108351,3879,13-Apr-2026 04.38.21 PM,UPI,Online
TXN_NEW_0016,Prime Fashion Order 19,P0019,S005,2,65012,8161,30-Apr-2026 03.20.33 PM,Cash,Online
TXN_NEW_0017,Urban Mobile Order 3,P0020,S001,2,50793,2151,13-Apr-2026 03.10.03 PM,UPI,Online
TXN_NEW_0018,Urban Electronics Order 62,P0001,S002,1,70082,9317,02-Apr-2026 10.19.25 PM,Net Banking,Store
TXN_NEW_0019,Royal Lifestyle Order 84,P0002,S001,2,88814,11924,20-Apr-2026 06.56.05 AM,Cash,Online
TXN_NEW_0020,Prime Mobile Order 90,P0016,S003,5,118326,9380,09-Apr-2026 12.37.07 PM,Net Banking,Store
TXN_NEW_0021,Smart Furniture Order 63,P0006,S004,1,24774,776,19-Apr-2026 05.01.29 AM,UPI,Store
TXN_NEW_0022,Quick Electronics Order 5,P0001,S005,5,19920,711,28-Apr-2026 10.18.45 AM,Card,Online
TXN_NEW_0023,Fresh Electronics Order 85,P0008,S005,3,7553,205,03-Apr-2026 03.59.22 PM,Card,Store
TXN_NEW_0024,Elite Mobile Order 83,P0018,S002,3,40451,3228,10-Apr-2026 11.48.32 PM,Cash,Store
TXN_NEW_0025,Quick Appliances Order 97,P0008,S001,5,74792,11008,17-Apr-2026 11.48.26 PM,Cash,Online
TXN_NEW_0026,Royal Groceries Order 100,P0009,S001,1,74049,9212,12-Apr-2026 05.57.59 AM,Card,Store
TXN_NEW_0027,Modern Mobile Order 94,P0013,S004,2,23270,2098,23-Apr-2026 12.30.36 AM,UPI,Online
TXN_NEW_0028,Elite Fashion Order 86,P0011,S002,4,32043,2741,10-Apr-2026 03.30.44 PM,Card,Store
TXN_NEW_0029,Elite Accessories Order 28,P0002,S004,5,6166,356,14-Apr-2026 03.41.15 PM,Net Banking,Online
TXN_NEW_0030,Fresh Electronics Order 85,P0006,S002,5,26087,3137,10-Apr-2026 02.57.58 PM,Cash,Online
TXN_NEW_0031,Prime Mobile Order 90,P0016,S001,3,97112,11155,30-Apr-2026 10.16.58 PM,Card,Store
TXN_NEW_0032,Urban Lifestyle Order 46,P0003,S001,4,37207,537,01-Apr-2026 08.47.44 PM,Cash,Store
TXN_NEW_0033,Quick Groceries Order 91,P0020,S002,4,85607,93,10-Apr-2026 05.48.23 PM,UPI,Online
TXN_NEW_0034,Global Fashion Order 56,P0016,S003,5,99278,803,19-Apr-2026 06.41.37 PM,Cash,Store
TXN_NEW_0035,Modern Mobile Order 93,P0002,S002,2,104299,14786,30-Apr-2026 08.32.21 PM,UPI,Online
TXN_NEW_0036,Metro Electronics Order 21,P0013,S001,1,31070,1499,15-Apr-2026 06.16.59 PM,UPI,Online
TXN_NEW_0037,Prime Fashion Order 19,P0015,S003,4,13796,304,13-Apr-2026 06.37.35 PM,Net Banking,Store
TXN_NEW_0038,Value Groceries Order 25,P0014,S005,1,83765,6065,09-Apr-2026 03.45.42 AM,Card,Online
TXN_NEW_0039,Mega Mobile Order 26,P0013,S001,5,56986,8126,03-Apr-2026 02.09.23 PM,Card,Store
TXN_NEW_0040,Metro Lifestyle Order 44,P0003,S004,3,99411,5811,26-Apr-2026 02.45.45 AM,Cash,Store
TXN_NEW_0041,Fresh Mobile Order 1,P0006,S005,2,85945,12030,04-Apr-2026 03.17.55 AM,Card,Store
TXN_NEW_0042,Value Groceries Order 25,P0002,S002,3,74369,9794,17-Apr-2026 10.11.59 PM,Net Banking,Online
TXN_NEW_0043,Fresh Mobile Order 1,P0011,S003,1,102582,1518,08-Apr-2026 11.35.58 PM,Card,Online
TXN_NEW_0044,Elite Electronics Order 52,P0008,S004,3,12938,345,17-Apr-2026 12.58.00 PM,Card,Store
TXN_NEW_0045,Fresh Groceries Order 39,P0019,S002,1,24078,2179,12-Apr-2026 11.36.45 PM,Card,Store
TXN_NEW_0046,Value Electronics Order 98,P0014,S003,5,58157,6205,01-Apr-2026 09.56.18 AM,Card,Store
TXN_NEW_0047,Elite Fashion Order 96,P0002,S001,2,80694,7002,02-Apr-2026 10.50.55 AM,Cash,Store
